id;nombre;descripcion;precio;cantidad;fecha_actualizacion;activo
1;accomplished tune meanwhile;gadzooks;30740.56;24692;2025-08-08;false
2;team;seagull;27536.09;24368;2025-08-08;true
3;populist;yowza veg excitable;7993.51;12847;2025-08-08;true
4;where;seriously gee whenever;20244.12;22894;2025-08-08;false
5;key;cleave till fully;30049.53;29188;2025-08-08;true
6;soulful gosh put;neaten best-seller;1484.86;29938;2025-08-08;true
7;barracks archive between;majestically forenenst;14009.1;28911;2025-08-07;true
8;and;indeed junior where;17611.41;31526;2025-08-08;true
9;rally;victorious;20548.61;12632;2025-08-08;false
10;cheerfully lotion gah;larva dash;24251.18;17990;2025-08-08;true
